,Z,N,A,half_life,half_life_unit,half_life_type,br_alpha,br_alpha_type,half_life_alpha,half_life_alpha_unit,Q_alpha,Q_alpha_unit
107Te,52,55,107,3.6,ms,symmetric,70.0,symmetric,0.0051428571428571435,s,4.0103533,MeV
105Te,52,53,105,0.63,us,symmetric,100.0,approximation,6.3e-07,s,5.0691999,MeV
108Te,52,56,108,2.1,s,symmetric,49.0,symmetric,4.285714285714286,s,3.420465,MeV
109Te,52,57,109,4.4,s,symmetric,3.9,symmetric,112.82051282051283,s,3.1976861,MeV
108I,53,55,108,26.4,ms,symmetric,99.5,symmetric,0.026532663316582914,s,4.098666199999999,MeV
109I,53,56,109,92.7,us,symmetric,0.014,symmetric,0.662142857142857,s,3.9180699,MeV
112I,53,59,112,3.34,s,symmetric,0.0012,approximation,278333.3333333334,s,2.9570864,MeV
110I,53,57,110,0.67,s,symmetric,17.0,symmetric,3.941176470588235,s,3.5805414,MeV
111I,53,58,111,2.5,s,symmetric,0.1,approximation,2500.0,s,3.2745378,MeV
111Xe,54,57,111,0.74,s,symmetric,10.4,symmetric,7.115384615384615,s,3.7121503,MeV
110Xe,54,56,110,93,ms,symmetric,64.0,symmetric,0.1453125,s,3.8722066,MeV
108Xe,54,54,108,58,us,asymmetric,100.0,symmetric,5.8e-05,s,4.5695582,MeV
112Xe,54,58,112,2.7,s,symmetric,0.8,asymmetric,337.5,s,3.3304128,MeV
114Cs,55,59,114,0.57,s,symmetric,0.018,symmetric,3166.6666666666665,s,3.3569999,MeV
114Ba,56,58,114,0.41,s,asymmetric,0.9,symmetric,45.55555555555555,s,3.5922840000000003,MeV
144Nd,60,84,144,2287500000000000,y,symmetric,100.0,symmetric,7.218801e+22,s,1.9012829,MeV
145Pm,61,84,145,17.7,y,symmetric,2.8e-07,symmetric,1.9948911428571427e+17,s,2.3221114,MeV
147Eu,63,84,147,24.1,d,symmetric,0.0022,symmetric,94647272727.27272,s,2.991137,MeV
148Eu,63,85,148,54.4,d,symmetric,9.4e-07,symmetric,500017021276595.7,s,2.6937185,MeV
151Eu,63,88,151,4600000000000000000,y,symmetric,100.0,symmetric,1.4516496e+26,s,1.96397,MeV
149Gd,64,85,149,9.28,d,symmetric,0.00042,symmetric,190902857142.85712,s,3.0993183,MeV
151Gd,64,87,151,124.5,d,symmetric,8e-07,approximation,1344600000000000.2,s,2.6522117,MeV
149Tb,65,84,149,4.12,h,symmetric,16.7,symmetric,88814.37125748504,s,4.0779687,MeV
151Tb,65,86,151,17.609,h,symmetric,0.0095,symmetric,667288421.0526317,s,3.4961546,MeV
152Dy,66,86,152,2.38,h,symmetric,0.1,symmetric,8568000.0,s,3.7265401000000002,MeV
153Dy,66,87,153,6.42,h,symmetric,0.0094,symmetric,245872340.4255319,s,3.5590607,MeV
150Dy,66,84,150,7.17,m,symmetric,37.0,symmetric,1162.7027027027027,s,4.3512892,MeV
151Dy,66,85,151,18,m,symmetric,5.6,symmetric,19285.714285714286,s,4.179623899999999,MeV
151Ho,67,84,151,35.2,s,symmetric,22.0,symmetric,160.0,s,4.6950117,MeV
154Ho,67,87,154,11.76,m,symmetric,0.018,symmetric,3920000.0,s,4.0414946,MeV
152Ho,67,85,152,147,s,symmetric,12.0,symmetric,1225.0,s,4.507395300000001,MeV
153Ho,67,86,153,2.01,m,symmetric,0.051,symmetric,236470.58823529413,s,4.0516499,MeV
153Er,68,85,153,37.1,s,symmetric,53.0,symmetric,70.0,s,4.8023924,MeV
152Er,68,84,152,10.2,s,symmetric,90.0,symmetric,11.333333333333332,s,4.9342625,MeV
156Er,68,88,156,19.5,m,symmetric,1.2e-05,symmetric,9749999999.999998,s,3.4813646,MeV
155Er,68,87,155,5.3,m,symmetric,0.022,symmetric,1445454.5454545454,s,4.1183002,MeV
154Er,68,86,154,3.73,m,symmetric,0.47,symmetric,47617.021276595755,s,4.2797284,MeV
155Tm,69,86,155,21.6,s,symmetric,0.83,symmetric,2602.409638554217,s,4.571909,MeV
