,Z,N,A,half_life,half_life_unit,half_life_type,br_alpha,br_alpha_type,half_life_alpha,half_life_alpha_unit,Q_alpha,Q_alpha_unit
Neutron,0,1,1,608.9,s,symmetric,,,,,,
2n,0,2,2,,,,,,,,,
4n,0,4,4,,,,,,,,,
1H,1,0,1,STABLE,,,,,,,,
2H,1,1,2,STABLE,,,,,,,,
3H,1,2,3,12.3221,y,symmetric,,,,,,
4H,1,3,4,3.3,MeV,symmetric,,,,,,
5H,1,4,5,5.3,MeV,symmetric,,,,,,
6H,1,5,6,1.5,MeV,symmetric,,,,,,
7H,1,6,7,0.18,MeV,asymmetric,,,,,,
3He,2,1,3,STABLE,,,,,,,,
4He,2,2,4,STABLE,,,,,,,0.0,keV
5He,2,3,5,719,keV,symmetric,,,,,735.0,keV
6He,2,4,6,807.12,ms,symmetric,,,,,,
7He,2,5,7,195,keV,symmetric,,,,,,
8He,2,6,8,119,ms,symmetric,,,,,,
9He,2,7,9,180,keV,symmetric,,,,,,
10He,2,8,10,1.8,MeV,symmetric,,,,,,
2He,2,0,2,,,,,,,,,
3Li,3,0,3,,,,,,,,,
4Li,3,1,4,5,MeV,symmetric,,,,,,
5Li,3,2,5,1.23,MeV,symmetric,,,,,1964.9999,keV
6Li,3,3,6,STABLE,,,,,,,-1473.7583,keV
7Li,3,4,7,STABLE,,,,,,,-2467.6221,keV
8Li,3,5,8,838.79,ms,symmetric,,,,,-6100.2403,keV
9Li,3,6,9,178,ms,symmetric,,,,,-10362.4579,keV
10Li,3,7,10,0.23,MeV,limit,,,,,-11248.0128,keV
11Li,3,8,11,8.75,ms,symmetric,,,,,-10832.0,keV
12Li,3,9,12,,,,,,,,,
13Li,3,10,13,125,keV,asymmetric,,,,,,
5Be,4,1,5,,,,,,,,,
6Be,4,2,6,92,keV,symmetric,,,,,,
7Be,4,3,7,53.3,d,symmetric,,,,,-1587.1371,keV
8Be,4,4,8,5.57,eV,symmetric,100.0,unreported,5.57,eV,91.8399,keV
9Be,4,5,9,STABLE,,,,,,,-2307.6989,keV
10Be,4,6,10,1385587,y,symmetric,,,,,-7409.5245,keV
11Be,4,7,11,13.77,s,symmetric,,,,,-8320.8746,keV
12Be,4,8,12,21.46,ms,symmetric,,,,,-8956.8373,keV
13Be,4,9,13,450,keV,symmetric,,,,,-9701.6627,keV
15Be,4,11,15,580,keV,symmetric,,,,,,
16Be,4,12,16,0.8,MeV,asymmetric,,,,,,
14Be,4,10,14,4.65,ms,symmetric,,,,,-11667.5601,keV
17B,5,12,17,5.07,ms,symmetric,,,,,-15689.4889,keV
18B,5,13,18,,,,,,,,,
19B,5,14,19,2.92,ms,symmetric,,,,,,
20B,5,15,20,500,keV,limit,,,,,,
21B,5,16,21,600,keV,limit,,,,,,
15B,5,10,15,10.18,ms,symmetric,,,,,-14195.795,keV
16B,5,11,16,100,keV,limit,,,,,-14322.7938,keV
6B,5,1,6,,,,,,,,,
7B,5,2,7,801,keV,symmetric,,,,,-3415.0,keV
8B,5,3,8,772.1,ms,symmetric,,,,,-4826.5368,keV
9B,5,4,9,540,eV,symmetric,,,,,-1687.3169,keV
10B,5,5,10,STABLE,,,,,,,-4461.1857,keV
11B,5,6,11,STABLE,,,,,,,-8664.3124,keV
12B,5,7,12,20.22,ms,symmetric,,,,,-10001.3225,keV
13B,5,8,13,17.16,ms,symmetric,,,,,-10817.8729,keV
14B,5,9,14,12.34,ms,symmetric,,,,,-11813.8576,keV
8C,6,2,8,130,keV,symmetric,,,,,,
9C,6,3,9,126.5,ms,symmetric,,,,,-10653.0,keV
10C,6,4,10,19.3015,s,symmetric,,,,,-5101.2767,keV
11C,6,5,11,20.3401,m,symmetric,,,,,-7544.5165,keV
12C,6,6,12,STABLE,,,,,,,-7366.5875,keV
13C,6,7,13,STABLE,,,,,,,-10648.3575,keV
14C,6,8,14,5686,y,symmetric,,,,,-12012.5091,keV
